Authors,Source,Title,Year,Thermal transformation span (TSPAN) - (AF-MF) - (°C),Calculated Density (g/cm^3),Cu (at.%),composition,Al (at.%),Mn (at.%)
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,37.6,7.36241,68.9,Cu68.9Al23.2Mn7.9 %,23.2,7.9
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,41.7,7.36241,68.9,Cu68.9Al23.2Mn7.9 %,23.2,7.9
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,42.2,7.36241,68.9,Cu68.9Al23.2Mn7.9 %,23.2,7.9
Mallik; Sampath,,Effect of alloying on microstructure and shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,35.0,7.4356,70.0,Cu70.0Al22.0Mn8.0 %,22.0,8.0
Mallik; Sampath,,Effect of alloying on microstructure and shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,32.0,7.45945,70.0,Cu70.0Al21.5Mn8.5 %,21.5,8.5
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,46.1,7.24362,66.3,Cu66.3Al24.9Mn8.8 %,24.9,8.8
Mallik; Sampath,,Effect of alloying on microstructure and shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,54.0,7.5795,71.7,Cu71.7Al19.5Mn8.8 %,19.5,8.8
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,35.8,7.2851,66.2,Cu66.2Al24.0Mn9.8 %,24.0,9.8
MVAMos; Manosa; Planes; Romero; Castro,,Kinetics of the phase separation in Cu–Al–Mn alloys and the influence on martensitic transformations,2004.0,55.0,7.36073,70.1,Cu70.1Al23.6Mn6.3 %,23.6,6.3
MVAMos; Manosa; Planes; Romero; Castro,,Kinetics of the phase separation in Cu–Al–Mn alloys and the influence on martensitic transformations,2004.0,65.0,7.36073,70.1,Cu70.1Al23.6Mn6.3 %,23.6,6.3
MVAMos; Manosa; Planes; Romero; Castro,,Kinetics of the phase separation in Cu–Al–Mn alloys and the influence on martensitic transformations,2004.0,60.0,7.33959,69.3,Cu69.3Al23.8Mn6.9 %,23.8,6.9
MVAMos; Manosa; Planes; Romero; Castro,,Kinetics of the phase separation in Cu–Al–Mn alloys and the influence on martensitic transformations,2004.0,48.0,7.33959,69.3,Cu69.3Al23.8Mn6.9 %,23.8,6.9
MVAMos; Manosa; Planes; Romero; Castro,,Kinetics of the phase separation in Cu–Al–Mn alloys and the influence on martensitic transformations,2004.0,65.0,7.37134,68.2,Cu68.2Al22.8Mn9.0 %,22.8,9.0
MVAMos; Manosa; Planes; Romero; Castro,,Kinetics of the phase separation in Cu–Al–Mn alloys and the influence on martensitic transformations,2004.0,55.0,7.37134,68.2,Cu68.2Al22.8Mn9.0 %,22.8,9.0
Mellor ;Hernaez; Castillo,,SHAPE MEMORY EFFECTS IN A Cu-AI-Mn ALLOY,1986.0,120.0,7.40469,70.5,Cu70.5Al22.8Mn6.7 %,22.8,6.7
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,120.0,7.3215,72.0,Cu72.0Al25.0Mn3.0 %,25.0,3.0
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,39.0,7.29372,71.4,Cu71.4Al25.4Mn3.2 %,25.4,3.2
Mielczarek; Wockel;Riehemann,,Effect of cold rolling on the damping of as cast Cu – Al - Mn shape memory alloys,2008.0,79.0,7.35386,71.6,Cu71.6Al24.2Mn4.2 %,24.2,4.2
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,70.0,7.38538,71.8,Cu71.8Al23.6Mn4.6 %,23.6,4.6
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,100.0,7.40259,72.0,Cu72.0Al23.3Mn4.7 %,23.3,4.7
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,42.0,7.33749,70.8,Cu70.8Al24.3Mn4.9 %,24.3,4.9
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,70.0,7.39969,71.8,Cu71.8Al23.3Mn4.9 %,23.3,4.9
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,70.0,7.39202,71.6,Cu71.6Al23.4Mn5.0 %,23.4,5.0
